learner_id,learner_name,birthdate,sex,municipality,school,age
LRN-0350,Ana Bautista,2011-09-18,M,Quezon City,Quezon Science High,9
LRN-0351,Antonio Lopez,2009-02-01,F,Manila,Mabini Academy,11
LRN-0352,Lisa Dela Cruz,2007-06-28,M,Cebu City,Davao National High,8
LRN-0353,Antonio Aquino,2014-09-10,M,Taguig,Bonifacio High School,12
LRN-0354,Elena Dela Cruz,2005-11-27,M,Quezon City,Mabini Academy,18
LRN-0355,Antonio Lopez,2011-05-14,M,Manila,Cebu Central School,16
LRN-0356,Juan Santos,2005-01-08,M,Pasig,Rizal Elementary School,11
LRN-0357,Elena Garcia,2010-10-13,F,Quezon City,Rizal Elementary School,7
LRN-0358,Maria Mendoza,2015-04-13,M,Taguig,Bonifacio High School,18
LRN-0343,Juan Villanueva,2009-10-15,M,Quezon City,Bonifacio High School,5
LRN-0360,Antonio Lopez,2006-06-30,M,Pasig,Rizal Elementary School,10
LRN-0361,Jose Garcia,2013-03-19,F,Cebu City,Cebu Central School,17
LRN-0362,Carlos Bautista,2014-12-01,M,Makati,Cebu Central School,15
LRN-0363,Lisa Wong,2013-04-26,M,Pasig,Davao National High,7
LRN-0364,  lisa lopez  ,Invalid Date,F,Nowhere,Mabini Academy,15
LRN-0365,Jose Lopez,2014-12-08,M,Pasig,Rizal Elementary School,15
LRN-0366,Maria Reyes,2009-09-27,M,Makati,Cebu Central School,15
LRN-0367,Antonio Lopez,2011-04-04,F,Pasig,Rizal Elementary School,11
LRN-0368,Jose Villanueva,2005-05-13,F,Quezon City,Bonifacio High School,17
LRN-0369,Elena Dela Cruz,2010-06-09,F,Manila,Cebu Central School,15
LRN-0370,Maria Santos,2015-07-30,M,Quezon City,Bonifacio High School,16
LRN-0371,Juan Lopez,2011-11-29,M,Pasig,Quezon Science High,11
LRN-0372,Carlos Bautista,2012-09-10,F,Manila,Rizal Elementary School,5
LRN-0373,Pedro Aquino,2008-09-04,M,Quezon City,Bonifacio High School,14
LRN-0374,Juan Aquino,2012-08-18,F,Cebu City,Mabini Academy,7
LRN-0375,Rosa Aquino,2015-10-04,M,Cebu City,Mabini Academy,8
LRN-0376,Antonio Santos,2012-02-03,F,Quezon City,Davao National High,16
LRN-0377,Carlos Mendoza,2010-11-03,F,Taguig,Davao National High,13
LRN-0378,Maria Lopez,2010-11-08,M,Taguig,Rizal Elementary School,6
LRN-0379,Carlos Villanueva,2011-12-30,F,Manila,Quezon Science High,9
LRN-0380,Elena Aquino,2006-01-14,M,Pasig,Mabini Academy,6
LRN-0381,Juan Villanueva,2005-12-20,M,Manila,Davao National High,10
LRN-0382,Ana Reyes,2015-12-27,M,Taguig,Bonifacio High School,12
LRN-0383,Ana Dela Cruz,2009-12-01,M,Pasig,Rizal Elementary School,13
LRN-0384,Carlos Reyes,2011-10-17,F,Pasig,Quezon Science High,15
LRN-0385,Jose Reyes,2010-07-08,F,Taguig,Quezon Science High,16
LRN-0386,Maria Dela Cruz,2013-07-08,F,Pasig,Davao National High,16
LRN-0387,Rosa Aquino,2015-09-16,F,Manila,Davao National High,17
LRN-0388,Lisa Villanueva,2006-07-20,F,Makati,Bonifacio High School,14
LRN-0389,Antonio Lopez,2014-09-08,F,Makati,Rizal Elementary School,6
LRN-0390,Jose Reyes,2009-08-21,F,Taguig,Mabini Academy,15
LRN-0391,Antonio Villanueva,2011-01-25,M,Quezon City,Bonifacio High School,18
LRN-0392,Carlos Santos,2010-02-20,F,Makati,Bonifacio High School,5
LRN-0393,Juan Wong,2008-04-19,M,Makati,Rizal Elementary School,12
LRN-0394,Juan Aquino,2011-04-16,F,Quezon City,Bonifacio High School,10
LRN-0395,Lisa Mendoza,2012-09-06,M,Taguig,Quezon Science High,18
LRN-0396,Pedro Lopez,2014-11-10,F,Cebu City,Davao National High,16
LRN-0397,Elena Lopez,2015-08-08,M,Manila,Davao National High,14
LRN-0398,Ana Santos,2008-02-10,F,Makati,Bonifacio High School,17
LRN-0399,Carlos Lopez,2012-09-03,F,Pasig,Mabini Academy,13
LRN-0400,Pedro Wong,2015-11-18,F,Cebu City,Mabini Academy,18
LRN-0401,Antonio Reyes,2014-05-20,M,Cebu City,Bonifacio High School,5
LRN-0402,Elena Reyes,2013-05-08,M,Davao City,Davao National High,15
LRN-0151,Jose Bautista,2009-11-07,M,Cebu City,Rizal Elementary School,12
LRN-0404,  pedro bautista  ,Invalid Date,M,Nowhere,Quezon Science High,7
LRN-0405,Elena Lopez,2015-06-22,M,Davao City,Rizal Elementary School,6
LRN-0406,Ana Villanueva,2011-10-14,M,Makati,Davao National High,13
LRN-0292,Pedro Lopez,2014-09-29,F,Taguig,Quezon Science High,9
LRN-0408,Lisa Santos,2007-12-09,F,Manila,Davao National High,14
LRN-0409,Maria Reyes,2015-09-20,M,Taguig,Mabini Academy,7
LRN-0410,Lisa Reyes,2015-01-22,M,Taguig,Quezon Science High,7
LRN-0411,Maria Lopez,2006-01-15,F,Taguig,Mabini Academy,7
LRN-0412,Juan Reyes,2009-11-15,M,Manila,Davao National High,18
LRN-0413,Antonio Garcia,2010-10-01,F,Cebu City,Quezon Science High,8
LRN-0414,ana garcia,24/11/2007,X,Quezon City,Mabini Academy,13
LRN-0415,Rosa Wong,2010-02-20,F,Manila,Mabini Academy,14
LRN-0416,Ana Mendoza,2006-04-02,M,Pasig,Bonifacio High School,13
LRN-0417,Ana Wong,2005-07-07,F,Davao City,Mabini Academy,9
LRN-0418,Juan Villanueva,2015-07-07,F,Cebu City,Davao National High,18
LRN-0419,Lisa Lopez,2014-05-14,M,Cebu City,Bonifacio High School,5
LRN-0420,Carlos Dela Cruz,2010-12-01,F,Manila,Bonifacio High School,13
LRN-0421,Ana Santos,2015-01-07,M,Davao City,Bonifacio High School,6
LRN-0422,Antonio Aquino,2012-11-03,M,Quezon City,Quezon Science High,14
LRN-0423,Elena Reyes,2010-01-29,F,Davao City,Davao National High,12
LRN-0424,Carlos Reyes,2012-05-15,F,Davao City,Quezon Science High,17
LRN-0425,Lisa Santos,2014-10-07,F,Taguig,Quezon Science High,12
LRN-0426,Elena Wong,2005-03-06,F,Davao City,Cebu Central School,15
LRN-0427,Juan Dela Cruz,2013-06-01,M,Quezon City,Bonifacio High School,8
LRN-0428,Lisa Garcia,2015-05-30,F,Pasig,Mabini Academy,10
LRN-0429,Ana Mendoza,2007-10-24,F,Manila,Bonifacio High School,7
LRN-0430,Carlos Aquino,2013-09-07,M,Davao City,Rizal Elementary School,17
LRN-0431,Carlos Santos,2008-10-02,M,Davao City,Rizal Elementary School,18
LRN-0432,Maria Santos,2011-05-14,F,Quezon City,Cebu Central School,12
LRN-0433,Antonio Bautista,2010-05-06,M,Quezon City,Davao National High,12
LRN-0434,Ana Villanueva,2010-12-18,M,Manila,Bonifacio High School,12
LRN-0435,Rosa Lopez,2009-04-20,F,Cebu City,Quezon Science High,14
LRN-0436,Antonio Bautista,2015-05-07,F,Makati,Cebu Central School,9
LRN-0437,Jose Garcia,2015-09-29,M,Taguig,Bonifacio High School,13
LRN-0438,Rosa Villanueva,2014-07-01,F,Cebu City,Bonifacio High School,8
LRN-0439,  jose reyes  ,Invalid Date,m,Nowhere,Davao National High,7
LRN-0440,Lisa Villanueva,2006-12-23,M,Manila,Quezon Science High,14
LRN-0441,Jose Bautista,2009-01-03,F,Quezon City,Bonifacio High School,10
LRN-0442,Lisa Reyes,2006-01-11,F,Quezon City,Cebu Central School,10
LRN-0443,Rosa Wong,2006-05-21,M,Taguig,Quezon Science High,8
LRN-0444,Carlos Villanueva,2014-01-29,F,Quezon City,Mabini Academy,6
LRN-0445,Lisa Wong,2006-06-16,M,Taguig,Quezon Science High,9
LRN-0446,Carlos Garcia,2012-03-28,M,Cebu City,Bonifacio High School,10
LRN-0447,Rosa Garcia,2008-07-11,M,Taguig,Davao National High,18
LRN-0448,Juan Bautista,2014-12-10,M,Cebu City,Cebu Central School,10
LRN-0449,Lisa Garcia,2011-07-29,M,Makati,Quezon Science High,5
LRN-0450,Maria Villanueva,2012-05-20,F,Pasig,Bonifacio High School,13
LRN-0451,Antonio Dela Cruz,2014-07-25,M,Quezon City,Quezon Science High,11
LRN-0452,Carlos Reyes,2014-02-20,F,Manila,Bonifacio High School,5
LRN-0453,Rosa Garcia,2005-06-25,F,Taguig,Rizal Elementary School,16
LRN-0454,Maria Lopez,2006-09-28,M,Cebu City,Rizal Elementary School,9
LRN-0455,Rosa Lopez,2008-10-05,M,Pasig,Davao National High,16
LRN-0456,Maria Dela Cruz,2015-12-26,M,Quezon City,Bonifacio High School,16
LRN-0457,Pedro Reyes,2015-08-09,M,Manila,Mabini Academy,5
LRN-0458,Pedro Aquino,2010-03-01,M,Manila,Cebu Central School,18
LRN-0459,Elena Santos,2014-12-26,F,Cebu City,Rizal Elementary School,13
LRN-0460,Rosa Garcia,2010-01-11,F,Makati,Cebu Central School,12
LRN-0461,Antonio Bautista,2013-05-07,M,Cebu City,Mabini Academy,16
LRN-0462,Lisa Aquino,2009-08-17,M,Cebu City,Quezon Science High,6
LRN-0463,carlos lopez,23/11/2007,M,Manila,Cebu Central School,6
LRN-0464,Jose Dela Cruz,2011-08-13,M,Pasig,Cebu Central School,9
LRN-0465,Elena Santos,2010-08-01,F,Quezon City,Bonifacio High School,11
LRN-0466,Maria Santos,2010-04-02,M,Pasig,Davao National High,5
LRN-0467,Elena Santos,2007-12-16,F,Makati,Bonifacio High School,14
LRN-0468,Carlos Bautista,2014-02-04,M,Taguig,Mabini Academy,9
LRN-0469,Antonio Dela Cruz,2015-05-26,M,Manila,Rizal Elementary School,8
LRN-0470,Maria Santos,2012-12-26,M,Taguig,Rizal Elementary School,7
LRN-0471,Elena Reyes,2014-11-20,M,Davao City,Quezon Science High,11
LRN-0472,Maria Wong,2005-10-20,M,Makati,Rizal Elementary School,12
LRN-0473,Carlos Villanueva,2007-08-26,M,Cebu City,Mabini Academy,15
LRN-0474,Elena Dela Cruz,2012-01-23,M,Quezon City,Davao National High,15
LRN-0475,Pedro Dela Cruz,2005-09-08,M,Manila,Bonifacio High School,14
LRN-0476,maria mendoza,07/02/2015,X,Makati,Bonifacio High School,10
LRN-0477,Elena Wong,2006-05-01,F,Quezon City,Quezon Science High,15
LRN-0478,Lisa Dela Cruz,2009-06-15,M,Davao City,Bonifacio High School,12
LRN-0479,Pedro Reyes,2007-11-16,F,Pasig,Davao National High,6
LRN-0480,Elena Garcia,2009-07-19,M,Quezon City,Bonifacio High School,15
LRN-0481,Maria Dela Cruz,2011-02-13,M,Davao City,Cebu Central School,6
LRN-0482,Rosa Reyes,2013-02-21,M,Makati,Rizal Elementary School,6
LRN-0483,juan wong,09/08/2007,f,Pasig,Cebu Central School,16
LRN-0484,Elena Reyes,2013-02-10,M,Manila,Rizal Elementary School,17
LRN-0485,Juan Mendoza,2007-11-22,F,Pasig,Quezon Science High,6
LRN-0486,Juan Reyes,2008-02-28,F,Davao City,Rizal Elementary School,5
LRN-0487,Lisa Reyes,2011-12-09,F,Manila,Rizal Elementary School,18
LRN-0488,Elena Santos,2015-12-05,F,Manila,Davao National High,18
LRN-0489,Elena Bautista,2006-08-23,M,Cebu City,Bonifacio High School,13
LRN-0490,Antonio Reyes,2010-04-23,F,Cebu City,Cebu Central School,11
LRN-0491,  elena mendoza  ,Invalid Date,m,Nowhere,Quezon Science High,14
LRN-0492,Antonio Garcia,2007-04-03,M,Davao City,Cebu Central School,18
LRN-0493,Juan Reyes,2007-09-15,F,Pasig,Mabini Academy,18
LRN-0494,Ana Dela Cruz,2006-04-28,F,Pasig,Cebu Central School,13
LRN-0495,Lisa Wong,2006-06-23,F,Quezon City,Cebu Central School,8
LRN-0496,Jose Garcia,2007-08-10,M,Pasig,Rizal Elementary School,13
LRN-0497,Jose Wong,2009-05-21,M,Makati,Davao National High,11
LRN-0116,Juan Reyes,2015-03-29,F,Pasig,Bonifacio High School,13
LRN-0499,Jose Bautista,2015-04-13,F,Quezon City,Rizal Elementary School,15
LRN-0500,Juan Bautista,2015-07-16,M,Cebu City,Cebu Central School,6
LRN-0501,Jose Aquino,2007-10-28,F,Pasig,Quezon Science High,6
LRN-0502,Elena Aquino,2007-10-14,F,Cebu City,Rizal Elementary School,10
LRN-0503,Lisa Garcia,2014-06-17,M,Manila,Cebu Central School,11
LRN-0504,Jose Reyes,2012-03-19,F,Davao City,Bonifacio High School,10
LRN-0505,  maria dela cruz  ,Invalid Date,X,Nowhere,Quezon Science High,8
LRN-0506,Maria Aquino,2013-06-17,F,Pasig,Bonifacio High School,8
LRN-0507,Elena Garcia,2015-01-02,M,Pasig,Bonifacio High School,13
LRN-0508,Juan Garcia,2013-05-11,M,Pasig,Mabini Academy,11
LRN-0509,Lisa Dela Cruz,2014-02-09,M,Makati,Bonifacio High School,11
LRN-0510,Elena Aquino,2011-05-13,F,Pasig,Bonifacio High School,6
LRN-0511,Maria Mendoza,2006-03-24,F,Makati,Rizal Elementary School,5
LRN-0512,Elena Reyes,2012-02-12,M,Taguig,Bonifacio High School,13
LRN-0513,Pedro Aquino,2008-12-14,M,Pasig,Quezon Science High,12
LRN-0514,Jose Bautista,2008-02-02,F,Davao City,Bonifacio High School,17
LRN-0515,Elena Aquino,2006-11-28,M,Taguig,Bonifacio High School,10
LRN-0516,Elena Aquino,2011-02-21,M,Pasig,Quezon Science High,16
LRN-0517,Ana Mendoza,2007-01-07,M,Manila,Mabini Academy,15
LRN-0518,Ana Bautista,2007-06-26,M,Taguig,Quezon Science High,16
LRN-0519,Pedro Garcia,2008-01-21,F,Manila,Cebu Central School,13
LRN-0520,Elena Garcia,2005-10-22,M,Cebu City,Mabini Academy,18
LRN-0521,Antonio Garcia,2012-07-31,M,Cebu City,Mabini Academy,12
LRN-0522,Lisa Bautista,2013-10-01,F,Davao City,Davao National High,18
LRN-0523,Pedro Bautista,2009-12-13,F,Manila,Davao National High,18
LRN-0524,Juan Aquino,2013-08-27,F,Quezon City,Cebu Central School,8
LRN-0525,Ana Bautista,2011-01-12,M,Makati,Bonifacio High School,5
LRN-0526,Maria Reyes,2010-08-07,F,Quezon City,Cebu Central School,8
LRN-0527,Lisa Dela Cruz,2012-08-16,F,Makati,Bonifacio High School,5
LRN-0528,Carlos Wong,2006-10-12,M,Taguig,Bonifacio High School,5
LRN-0529,Lisa Aquino,2011-11-13,M,Cebu City,Rizal Elementary School,5
LRN-0530,Maria Reyes,2010-08-12,M,Cebu City,Bonifacio High School,14
LRN-0531,jose mendoza,08/06/2013,X,Davao City,Mabini Academy,17
LRN-0532,Lisa Lopez,2014-09-28,M,Cebu City,Bonifacio High School,7
LRN-0533,Rosa Lopez,2006-12-13,F,Cebu City,Rizal Elementary School,9
LRN-0534,Juan Lopez,2012-01-10,F,Taguig,Bonifacio High School,5
LRN-0535,Elena Wong,2012-08-18,M,Pasig,Rizal Elementary School,16
LRN-0536,Rosa Wong,2007-06-27,M,Cebu City,Quezon Science High,15
LRN-0537,  carlos garcia  ,Invalid Date,F,Nowhere,Bonifacio High School,15
LRN-0538,Antonio Dela Cruz,2013-02-15,M,Davao City,Quezon Science High,12
LRN-0539,Antonio Mendoza,2013-01-23,F,Quezon City,Davao National High,15
LRN-0540,Jose Wong,2009-12-28,F,Makati,Davao National High,5
LRN-0541,Pedro Dela Cruz,2008-03-08,M,Manila,Mabini Academy,15
LRN-0542,Ana Bautista,2010-11-09,M,Makati,Cebu Central School,6
LRN-0543,Lisa Santos,2006-12-26,F,Makati,Quezon Science High,14
LRN-0544,Carlos Wong,2008-10-22,M,Makati,Quezon Science High,6
LRN-0545,Juan Villanueva,2009-04-28,M,Cebu City,Bonifacio High School,16
LRN-0546,Elena Aquino,2010-08-16,M,Davao City,Quezon Science High,11
LRN-0547,Elena Reyes,2010-04-29,F,Quezon City,Bonifacio High School,8
LRN-0548,Pedro Reyes,2005-09-08,F,Davao City,Bonifacio High School,5
LRN-0549,Antonio Bautista,2006-07-23,M,Manila,Rizal Elementary School,7
LRN-0550,Jose Lopez,2012-05-24,F,Manila,Bonifacio High School,6
LRN-0551,Pedro Mendoza,2005-10-15,M,Manila,Bonifacio High School,10
LRN-0552,rosa bautista,06/07/2009,f,Manila,Davao National High,16
LRN-0553,Jose Bautista,2011-02-17,F,Cebu City,Bonifacio High School,7
LRN-0554,Elena Garcia,2012-08-02,F,Cebu City,Quezon Science High,17
LRN-0555,Rosa Wong,2014-06-26,M,Makati,Cebu Central School,8
LRN-0556,Juan Dela Cruz,2010-12-03,M,Taguig,Davao National High,16
LRN-0557,Antonio Bautista,2006-04-21,F,Quezon City,Bonifacio High School,8
LRN-0558,Carlos Lopez,2013-02-06,M,Davao City,Mabini Academy,9
LRN-0559,Lisa Aquino,2005-04-21,M,Taguig,Cebu Central School,10
LRN-0560,Juan Wong,2012-08-14,F,Manila,Mabini Academy,13
LRN-0561,jose lopez,30/10/2015,M,Makati,Rizal Elementary School,18
LRN-0562,Ana Reyes,2005-08-17,M,Taguig,Davao National High,9
LRN-0563,Rosa Reyes,2014-04-25,F,Davao City,Rizal Elementary School,6
LRN-0107,Lisa Garcia,2010-10-15,M,Davao City,Bonifacio High School,12
LRN-0565,Antonio Dela Cruz,2010-02-12,M,Quezon City,Mabini Academy,18
LRN-0566,Carlos Reyes,2008-09-09,F,Davao City,Bonifacio High School,7
LRN-0567,  lisa santos  ,Invalid Date,X,Nowhere,Mabini Academy,8
LRN-0568,Pedro Reyes,2013-07-21,F,Manila,Cebu Central School,6
LRN-0569,Pedro Aquino,2015-02-22,F,Quezon City,Mabini Academy,12
LRN-0570,Carlos Reyes,2014-02-02,M,Taguig,Rizal Elementary School,11
LRN-0571,Pedro Lopez,2005-07-10,M,Makati,Quezon Science High,14
LRN-0572,Jose Bautista,2009-03-03,F,Cebu City,Mabini Academy,18
LRN-0573,Elena Lopez,2005-05-20,M,Davao City,Cebu Central School,8
LRN-0574,Juan Mendoza,2008-04-30,F,Manila,Rizal Elementary School,5
LRN-0575,Antonio Wong,2007-04-01,F,Taguig,Mabini Academy,9
LRN-0576,Pedro Mendoza,2007-03-17,M,Davao City,Quezon Science High,14
LRN-0577,Rosa Lopez,2009-03-01,F,Davao City,Mabini Academy,17
LRN-0578,Elena Villanueva,2012-07-24,F,Taguig,Bonifacio High School,14
LRN-0579,Ana Dela Cruz,2011-03-29,F,Manila,Cebu Central School,11
LRN-0580,Elena Santos,2012-11-13,M,Manila,Mabini Academy,16
LRN-0581,Antonio Bautista,2008-05-21,F,Pasig,Bonifacio High School,9
LRN-0582,Lisa Mendoza,2005-11-13,F,Taguig,Mabini Academy,15
LRN-0583,Antonio Aquino,2006-10-31,F,Cebu City,Quezon Science High,18
LRN-0542,Ana Bautista,2010-11-09,M,Makati,Cebu Central School,6
LRN-0585,Antonio Garcia,2008-04-08,M,Makati,Davao National High,13
LRN-0586,Ana Garcia,2005-12-13,M,Taguig,Quezon Science High,17
LRN-0587,Pedro Dela Cruz,2005-09-28,M,Manila,Rizal Elementary School,18
LRN-0588,Carlos Mendoza,2007-05-30,F,Taguig,Mabini Academy,16
LRN-0589,Juan Lopez,2007-04-03,F,Cebu City,Rizal Elementary School,14
LRN-0590,Ana Santos,2012-09-19,M,Quezon City,Cebu Central School,9
LRN-0591,Jose Reyes,2006-03-21,F,Manila,Cebu Central School,12
LRN-0592,Carlos Santos,2008-11-10,F,Quezon City,Quezon Science High,15
LRN-0593,Elena Garcia,2014-07-21,M,Taguig,Rizal Elementary School,9
LRN-0594,Ana Santos,2011-07-18,F,Davao City,Quezon Science High,10
LRN-0595,Maria Aquino,2015-11-05,M,Cebu City,Mabini Academy,7
LRN-0596,Carlos Garcia,2009-10-12,F,Pasig,Mabini Academy,9
LRN-0597,Carlos Wong,2013-11-27,F,Taguig,Quezon Science High,5
LRN-0598,Carlos Dela Cruz,2011-12-05,M,Davao City,Quezon Science High,10
LRN-0599,antonio wong,20/04/2013,F,Makati,Mabini Academy,10
LRN-0600,Jose Mendoza,2006-10-31,M,Makati,Davao National High,5
LRN-0601,Maria Santos,2015-12-18,F,Pasig,Quezon Science High,16
LRN-0602,Ana Garcia,2011-08-03,F,Cebu City,Davao National High,11
LRN-0603,Pedro Garcia,2007-01-05,M,Quezon City,Mabini Academy,10
LRN-0604,Pedro Bautista,2012-01-08,M,Cebu City,Bonifacio High School,11
LRN-0605,Jose Garcia,2010-06-10,M,Pasig,Quezon Science High,9
LRN-0606,Juan Garcia,2007-04-04,F,Davao City,Mabini Academy,15
LRN-0607,Juan Lopez,2009-01-17,F,Quezon City,Rizal Elementary School,13
LRN-0608,Antonio Mendoza,2012-09-18,M,Cebu City,Mabini Academy,7
LRN-0609,Jose Dela Cruz,2014-04-06,F,Manila,Rizal Elementary School,15
LRN-0610,Juan Bautista,2013-01-09,F,Cebu City,Davao National High,16
LRN-0611,ana dela cruz,27/02/2013,m,Davao City,Quezon Science High,7
LRN-0612,Maria Lopez,2006-02-08,M,Davao City,Mabini Academy,17
LRN-0613,jose lopez,21/02/2010,F,Makati,Quezon Science High,16
LRN-0614,Antonio Villanueva,2005-02-12,M,Cebu City,Cebu Central School,16
LRN-0615,Rosa Garcia,2007-09-18,F,Quezon City,Davao National High,9
LRN-0616,Antonio Reyes,2007-12-17,M,Pasig,Mabini Academy,7
LRN-0617,Maria Bautista,2010-03-17,F,Manila,Bonifacio High School,11
LRN-0618,Pedro Villanueva,2009-11-27,M,Makati,Bonifacio High School,18
LRN-0619,Jose Mendoza,2012-08-01,F,Makati,Quezon Science High,14
LRN-0620,Carlos Aquino,2010-04-10,F,Makati,Bonifacio High School,9
LRN-0621,Antonio Dela Cruz,2013-02-03,F,Quezon City,Cebu Central School,14
LRN-0622,Lisa Lopez,2006-09-06,M,Manila,Rizal Elementary School,5
LRN-0623,Pedro Garcia,2014-05-07,F,Quezon City,Cebu Central School,13
LRN-0624,Pedro Santos,2011-10-22,F,Davao City,Bonifacio High School,14
LRN-0625,Ana Santos,2007-05-21,M,Davao City,Quezon Science High,5
LRN-0626,Antonio Reyes,2011-05-18,M,Taguig,Rizal Elementary School,11
LRN-0627,Rosa Aquino,2012-12-26,F,Quezon City,Cebu Central School,16
LRN-0628,Juan Wong,2015-10-28,M,Pasig,Rizal Elementary School,8
LRN-0629,Ana Aquino,2005-01-06,M,Quezon City,Rizal Elementary School,17
LRN-0630,Pedro Dela Cruz,2007-12-25,M,Manila,Davao National High,16
LRN-0631,Juan Aquino,2005-07-10,M,Davao City,Quezon Science High,13
LRN-0632,Lisa Villanueva,2015-10-29,F,Pasig,Bonifacio High School,7
LRN-0633,Maria Dela Cruz,2015-05-28,M,Makati,Davao National High,11
LRN-0634,Ana Villanueva,2009-01-25,F,Manila,Mabini Academy,14
LRN-0635,Pedro Bautista,2014-08-15,M,Quezon City,Mabini Academy,9
LRN-0636,Elena Santos,2014-11-17,M,Pasig,Davao National High,17
LRN-0637,Rosa Wong,2015-06-01,M,Davao City,Bonifacio High School,8
LRN-0638,Maria Wong,2011-04-10,M,Manila,Quezon Science High,5
LRN-0639,Juan Bautista,2006-02-22,F,Cebu City,Davao National High,6
LRN-0640,Carlos Aquino,2013-06-21,M,Quezon City,Bonifacio High School,5
LRN-0641,Pedro Aquino,2009-11-20,F,Cebu City,Rizal Elementary School,12
LRN-0642,Juan Wong,2009-07-17,M,Makati,Rizal Elementary School,12
LRN-0643,Antonio Santos,2014-03-09,M,Makati,Cebu Central School,8
LRN-0644,Lisa Garcia,2006-04-26,F,Quezon City,Bonifacio High School,12
LRN-0645,Jose Bautista,2012-07-04,F,Makati,Mabini Academy,9
LRN-0646,Antonio Bautista,2011-05-17,F,Cebu City,Mabini Academy,8
LRN-0647,Maria Bautista,2006-10-07,M,Manila,Mabini Academy,14
LRN-0648,Jose Santos,2014-06-30,M,Taguig,Cebu Central School,15
LRN-0649,Pedro Lopez,2014-12-22,F,Taguig,Bonifacio High School,5
LRN-0650,Carlos Bautista,2005-01-01,M,Pasig,Rizal Elementary School,13
LRN-0651,antonio mendoza,15/07/2007,X,Pasig,Quezon Science High,7
LRN-0652,Carlos Lopez,2008-05-05,M,Quezon City,Quezon Science High,10
LRN-0433,Antonio Bautista,2010-05-06,M,Quezon City,Davao National High,12
LRN-0654,Ana Bautista,2015-12-26,M,Pasig,Cebu Central School,11
LRN-0655,Lisa Wong,2012-08-08,F,Makati,Cebu Central School,6
LRN-0656,Juan Santos,2007-08-16,F,Manila,Bonifacio High School,9
LRN-0657,Ana Villanueva,2009-06-21,M,Davao City,Rizal Elementary School,9
LRN-0658,Rosa Reyes,2007-01-16,M,Taguig,Cebu Central School,6
LRN-0659,Ana Aquino,2008-01-08,F,Davao City,Davao National High,5
LRN-0660,Elena Wong,2005-05-20,F,Cebu City,Bonifacio High School,11
LRN-0661,Carlos Mendoza,2015-10-21,M,Davao City,Mabini Academy,11
LRN-0662,Elena Garcia,2013-07-02,F,Makati,Rizal Elementary School,13
LRN-0663,Juan Santos,2008-04-27,M,Pasig,Davao National High,11
LRN-0664,Maria Reyes,2008-03-03,F,Pasig,Quezon Science High,17
LRN-0665,Rosa Garcia,2005-08-18,M,Taguig,Quezon Science High,11
LRN-0666,Pedro Dela Cruz,2008-06-02,F,Cebu City,Davao National High,12
LRN-0667,Ana Garcia,2013-05-16,M,Manila,Davao National High,13
LRN-0668,Lisa Reyes,2013-12-08,F,Makati,Cebu Central School,17
LRN-0658,Rosa Reyes,2007-01-16,M,Taguig,Cebu Central School,6
LRN-0670,Antonio Dela Cruz,2008-08-30,M,Manila,Cebu Central School,16
LRN-0671,Jose Bautista,2011-07-15,F,Taguig,Quezon Science High,6
LRN-0672,Juan Reyes,2005-07-28,M,Pasig,Davao National High,18
LRN-0673,Lisa Santos,2009-04-23,M,Cebu City,Quezon Science High,6
LRN-0674,Maria Garcia,2005-04-24,M,Quezon City,Davao National High,9
LRN-0675,Pedro Bautista,2009-03-24,F,Taguig,Davao National High,10
LRN-0676,Antonio Wong,2007-05-26,M,Manila,Mabini Academy,10
LRN-0677,Antonio Villanueva,2008-09-15,M,Quezon City,Bonifacio High School,5
LRN-0678,Ana Wong,2006-05-10,M,Makati,Bonifacio High School,8
LRN-0679,Juan Bautista,2010-10-16,M,Davao City,Davao National High,7
LRN-0680,Ana Aquino,2005-04-18,M,Makati,Mabini Academy,12
LRN-0681,Jose Lopez,2006-07-19,M,Makati,Mabini Academy,17
LRN-0682,Jose Santos,2007-04-15,F,Cebu City,Cebu Central School,15
LRN-0683,Pedro Wong,2013-06-01,F,Quezon City,Davao National High,10
LRN-0684,Lisa Villanueva,2005-01-13,M,Cebu City,Davao National High,12
LRN-0685,Pedro Mendoza,2015-07-20,M,Taguig,Mabini Academy,7
LRN-0686,Lisa Dela Cruz,2006-10-04,M,Manila,Quezon Science High,5
LRN-0687,Rosa Wong,2015-10-27,M,Cebu City,Mabini Academy,17
LRN-0688,Maria Mendoza,2013-11-19,F,Davao City,Mabini Academy,8
LRN-0689,Elena Mendoza,2005-02-24,F,Manila,Quezon Science High,16
LRN-0690,Antonio Mendoza,2005-04-30,F,Davao City,Davao National High,11
LRN-0691,Ana Santos,2012-09-04,M,Makati,Rizal Elementary School,18
LRN-0692,Elena Reyes,2010-10-26,F,Pasig,Cebu Central School,12
LRN-0693,Lisa Dela Cruz,2014-04-25,F,Cebu City,Rizal Elementary School,11
LRN-0694,Carlos Aquino,2013-12-10,M,Makati,Quezon Science High,16
LRN-0695,Carlos Bautista,2009-09-30,F,Manila,Cebu Central School,9
LRN-0696,Elena Aquino,2010-04-15,M,Cebu City,Rizal Elementary School,17
LRN-0697,Carlos Bautista,2015-04-26,M,Quezon City,Rizal Elementary School,6
LRN-0698,Ana Lopez,2012-07-07,M,Quezon City,Rizal Elementary School,10
